date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:29	27431/27431	---M--	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2006:28:52%20GMT	https://artqtion.com/	C:/laragon/www/artqtion/artqtion/artqtion.com/index.html	(from )
20:47:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Feb%202024%2013:47:36%20GMT	https://artqtion.com/robots.txt		(from )
20:47:29	89220/89220	---M-Z	200	added ('OK')	text/css	etag:%22620188b3-468e%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	C:/laragon/www/artqtion/artqtion/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	(from https://artqtion.com/)
20:47:30	318157/318157	---M-Z	200	added ('OK')	text/css	etag:%2263fcc599-b28a%22	https://cdnjs.cloudflare.com/ajax/libs/mdb-ui-kit/6.2.0/mdb.min.css	C:/laragon/www/artqtion/artqtion/cdnjs.cloudflare.com/ajax/libs/mdb-ui-kit/6.2.0/mdb.min.css	(from https://artqtion.com/)
20:47:30	13360/13360	---M--	200	added ('OK')	text/css	date:Sun,%2004%20Jun%202023%2006:16:20%20GMT	https://artqtion.com/css/style.css	C:/laragon/www/artqtion/artqtion/artqtion.com/css/style.css	(from https://artqtion.com/)
20:47:30	130/130	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/font/font.css	C:/laragon/www/artqtion/artqtion/artqtion.com/font/font.css	(from https://artqtion.com/)
20:47:30	8360/8360	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/logo_navbar.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/logo_navbar.png	(from https://artqtion.com/)
20:47:31	11536/11536	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/osis.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/osis.png	(from https://artqtion.com/)
20:47:31	513991/513991	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/header_title.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/header_title.png	(from https://artqtion.com/)
20:47:31	8119/8119	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/logo_about.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/logo_about.png	(from https://artqtion.com/)
20:47:32	2886/2886	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/sitv.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/sitv.png	(from https://artqtion.com/)
20:47:32	9563/9563	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/logo_past.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/logo_past.png	(from https://artqtion.com/)
20:47:32	5763/5763	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/alfy.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/alfy.png	(from https://artqtion.com/)
20:47:33	5549/5549	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/rs.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/rs.png	(from https://artqtion.com/)
20:47:33	1790/1790	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/sitvv.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/sitvv.png	(from https://artqtion.com/)
20:47:33	1187833/1187833	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/aef.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/aef.png	(from https://artqtion.com/)
20:47:34	12207/12207	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/logo-footer.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/logo-footer.png	(from https://artqtion.com/)
20:47:34	695546/695546	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/gallery_back.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/gallery_back.png	(from https://artqtion.com/)
20:47:34	154145/154145	---M-Z	200	added ('OK')	application/javascript	etag:%2263fcc599-afed%22	https://cdnjs.cloudflare.com/ajax/libs/mdb-ui-kit/6.2.0/mdb.min.js	C:/laragon/www/artqtion/artqtion/cdnjs.cloudflare.com/ajax/libs/mdb-ui-kit/6.2.0/mdb.min.js	(from https://artqtion.com/)
20:47:34	2520/2520	---M--	200	added ('OK')	application/javascript	date:Fri,%2019%20May%202023%2013:20:12%20GMT	https://artqtion.com/js/script.js	C:/laragon/www/artqtion/artqtion/artqtion.com/js/script.js	(from https://artqtion.com/)
20:47:36	28123/28123	---M--	200	added ('OK')	image/png	etag:%225da9cca4-6ddb%22	https://mdbootstrap.com/img/svg/flags.png	C:/laragon/www/artqtion/artqtion/mdbootstrap.com/img/svg/flags.png	(from https://cdnjs.cloudflare.com/ajax/libs/mdb-ui-kit/6.2.0/mdb.min.css)
20:47:37	158206/158206	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/shadowbg.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/shadowbg.png	(from https://artqtion.com/css/style.css)
20:47:38	114754/114754	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/artq_past.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/artq_past.png	(from https://artqtion.com/css/style.css)
20:47:38	153367/153367	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/aboutshadow.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/aboutshadow.png	(from https://artqtion.com/css/style.css)
20:47:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Feb%202024%2013:47:46%20GMT	https://artqtion.com/image/assets/P1150167	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/P1150167	(from https://artqtion.com/css/style.css)
20:47:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Feb%202024%2013:47:46%20GMT	https://artqtion.com/image/assets/pexels-frank-cone-3279307	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/pexels-frank-cone-3279307	(from https://artqtion.com/css/style.css)
20:47:39	29296/29296	---M--	200	added ('OK')	font/ttf	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/font/pilotcommand1_2.ttf	C:/laragon/www/artqtion/artqtion/artqtion.com/font/pilotcommand1_2.ttf	(from https://artqtion.com/font/font.css)
20:47:41	567120/567120	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/compe_text.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/compe_text.png	(from https://artqtion.com/css/style.css)
20:47:46	2490614/2490614	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/header_back.png	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/header_back.png	(from https://artqtion.com/css/style.css)
20:47:46	4749801/4749801	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Apr%202023%2003:05:20%20GMT	https://artqtion.com/image/assets/past-foot.jpg	C:/laragon/www/artqtion/artqtion/artqtion.com/image/assets/past-foot.jpg	(from https://artqtion.com/css/style.css)
